('theory', 1.1158913362764618)
('newtonian', 2.883959927015622)
('s', 1.3010911477416762)
('author', 1.372565938003371)
('generalized', 0.0)
('blunt', 1.1272544797791353)
('generalization', 0.0)
('nose', 1.2543715489712557)
('bodies', 0.7006985646528237)
('TITLE', 0.0)
('DOC', 0.0)
('hypersonic', 0.7560692679721441)
('lees', 1.6156820911795455)
('AUTHOR', 0.0)
('two', 0.40878277728025747)
('TEXT', 0.0)
('modification', 1.2024517955368736)
('DOCNO', 0.0)
('inclination', 1.4705760674269301)
('BIBLIO', 0.0)
('local', 0.8055426030115687)
('well', 0.7170637818434149)
('shows', 0.6216813975988491)
('coefficient', 0.28791477497871654)
('shock', 0.2865814345342038)
('love', 0.9764411975361861)
('results', 0.09867975283061)
('surface', 0.23021839512315162)
('axisymmetric', 0.5588535413710634)
('dimensional', 0.31551390214349007)
('result', 0.09867975283061)
('apply', 0.31084069879942455)
('ae', 0.0)
('indicate', 0.303331921475934)
('scs', 0.0)
('specific', 0.5092144673850969)
('generalizes', 0.0)
('refers', 0.5250994973524843)
('ratio', 0.23453518319517785)
('variations', 0.36478262349811647)
('support', 0.4947125712201586)
('similarity', 0.36584758984791166)
('rev', 0.9088636795181586)
('expressed', 0.36908393749076185)
('also', 0.25247362722723876)
('development', 0.26835865719462626)
('heats', 0.22647291914780854)
('figures', 0.7561485575391328)
('sin', 1.0919657276295103)
('independence', 0.5365983092669763)
('body', 0.23356618821760788)
('reviewer', 0.5521859856021135)
('relations', 0.3595575351841038)
('normal', 0.4014432732309215)
('max', 1.0919657276295103)
('reverts', 1.0919657276295103)
('given', 0.21485069614536267)
('pressure', 0.13885387977118502)
('m', 0.5457749387974808)
('correlated', 0.43996189339148595)
('engaged', 1.0919657276295103)
('amr', 0.9392506056504845)
('exact', 0.4334251078659391)
('subscript', 1.024388209611483)
('generalised', 0.9088636795181586)
('comparison', 0.39368993729177265)
('hardware', 1.2074902577228344)
('pointednose', 1.2074902577228344)
('e', 0.48137211994123585)
('d', 0.7000698514355973)
('presented', 0.15076370710154247)
('parameter', 0.35054633163905785)
('j', 0.7676473694536248)
('maximum', 0.41666823632895944)
('believes', 0.6923165154964486)
('shapes', 0.30931163608675105)
('superiority', 0.9088636795181586)
('correlation', 0.43996189339148595)
('interest', 0.5018058402899579)
('k', 0.6298676072562134)
('solutions', 0.17957084257477762)
