('layer', 1.1513717762918714)
('reference', 3.150596984114906)
('TITLE', 0)
('TEXT', 0)
('slip', 4.41172820228079)
('AUTHOR', 0)
('transfer', 1.9926681182903772)
('laminar', 1.8930834128609406)
('DOCNO', 0)
('plate', 1.7518801029964586)
('heat', 1.3588375148868512)
('BIBLIO', 0)
('DOC', 0)
('boundary', 1.0986122886681098)
('naca', 3.986845008315525)
('authors', 2.745131876006742)
('number', 0.6910081423111959)
('friction', 2.8141247474936932)
('dash', 4.847046273538637)
('cleveland', 0)
('laboratory', 3.9127370361618032)
('considers', 1.6689924431906908)
('perturbation', 3.9127370361618032)
('lewis', 5.453182077108952)
('stephen', 0)
('flat', 2.057555740496252)
('flight', 2.4913513552306426)
('effect', 0.8347666643708401)
('impulsive', 5.165500004657171)
('maslen', 7.244941546337007)
('infinite', 2.7676047318588006)
('e', 2.8882327196474153)
('g', 3.748433984870527)
('considered', 1.6689924431906908)
('h', 4.109447330407857)
('flow', 0.594662497749585)
('analysis', 1.7274886498722994)
('motion', 2.4742569218713424)
('propulsion', 4.300502567170566)
('skin', 2.7231529692879666)
('ohio', 0)
('studies', 1.7560038201803205)
('usual', 3.1018068199454745)
