('high', 1.911508722337981)
('speed', 1.6607312068216509)
('flight', 2.4906373244969853)
('structural', 2.407945608651872)
('aeroelastic', 4.411014171547134)
('TITLE', 0)
('DOC', 0)
('thermal', 2.7783193969487665)
('factors', 2.849778360930911)
('TEXT', 0)
('DOCNO', 0)
('AUTHOR', 0)
('aircraft', 3.101092789211817)
('BIBLIO', 0)
('origin', 3.312401882879024)
('considerations', 2.169053700369523)
('layer', 1.1506577455582143)
('ae', 0)
('methods', 1.0098167898849786)
('meet', 5.452468046375295)
('aerelastic', 0)
('one', 0)
('design', 2.169053700369523)
('another', 4.0661736852554045)
('respect', 2.700932733333346)
('art', 6.145615226935241)
('scs', 0)
('subject', 2.7224389385543097)
('finally', 3.1170931305582585)
('discussed', 1.5572521592635302)
('aeronautical', 4.411014171547134)
('tools', 4.941642422609304)
('concerned', 3.0853444322436783)
('summarized', 4.471638793363569)
('problems', 1.3415941822019837)
('bisplinghoff', 0)
('load', 1.7108380268758296)
('research', 3.312401882879024)
('state', 2.995732273553991)
('combined', 2.456735772821304)
('structures', 2.407945608651872)
('available', 2.849778360930911)
('inputs', 5.047002938267131)
('interrelation', 6.551080335043404)
('demands', 6.145615226935241)
('alleviating', 5.452468046375295)
('attacking', 2.5257286443082556)
('upon', 2.9675613965872945)
('acrothermoelasticity', 7.24422751560335)
('failure', 3.7178669909871886)
('avenues', 6.551080335043404)
('presented', 0.9038682118755978)
('heat', 1.3581234841531944)
('boundary', 1.0978982579344527)
('structure', 2.407945608651872)
('suggested', 2.913494175317019)
('modes', 3.0545727735769246)
('largely', 1.916351346813769)
('j', 4.605170185988092)
('well', 2.150477314796588)
('l', 4.199705077879927)
('summary', 4.53617731450114)
('matter', 6.145615226935241)
('r', 3.415586119114255)
('fundamental', 3.8430301339411947)
('transfer', 1.99195408755672)
('analytical', 2.5902671654458267)
('dominating', 4.941642422609304)
('discussion', 1.5572521592635302)
('experimental', 1.4123450383198333)
('engineers', 3.6333096029591254)
