('pressure', 1.0)
('boundary', 0.5714285714285714)
('presented', 0.42857142857142855)
('mean', 0.42857142857142855)
('wall', 0.42857142857142855)
('number', 0.42857142857142855)
('forward', 0.42857142857142855)
('layer', 0.42857142857142855)
('wing', 0.42857142857142855)
('TEXT', 0.2857142857142857)
('dynamic', 0.2857142857142857)
('results', 0.2857142857142857)
('turbulence', 0.2857142857142857)
('square', 0.2857142857142857)
('AUTHOR', 0.2857142857142857)
('section', 0.2857142857142857)
('measurements', 0.2857142857142857)
('free', 0.2857142857142857)
('TITLE', 0.2857142857142857)
('DOC', 0.2857142857142857)
('fuselage', 0.2857142857142857)
('DOCNO', 0.2857142857142857)
('flight', 0.2857142857142857)
('BIBLIO', 0.2857142857142857)
('profiles', 0.2857142857142857)
('fluctuations', 0.2857142857142857)
('root', 0.2857142857142857)
('stream', 0.2857142857142857)
('reynolds', 0.2857142857142857)
('velocity', 0.2857142857142857)
('using', 0.14285714285714285)
('layers', 0.14285714285714285)
('anemometers', 0.14285714285714285)
('longitudinal', 0.14285714285714285)
('tn', 0.14285714285714285)
('program', 0.14285714285714285)
('fluctuating', 0.14285714285714285)
('algranti', 0.14285714285714285)
('d', 0.14285714285714285)
('h', 0.14285714285714285)
('large', 0.14285714285714285)
('fuselagesection', 0.14285714285714285)
('found', 0.14285714285714285)
('microphones', 0.14285714285714285)
('turbulent', 0.14285714285714285)
('intensity', 0.14285714285714285)
('used', 0.14285714285714285)
('measure', 0.14285714285714285)
('wire', 0.14285714285714285)
('apparatus', 0.14285714285714285)
('thickness', 0.14285714285714285)
('probably', 0.14285714285714285)
('mull', 0.14285714285714285)
('component', 0.14285714285714285)
('agreement', 0.14285714285714285)
('reported', 0.14285714285714285)
('aircraft', 0.14285714285714285)
('output', 0.14285714285714285)
('ratio', 0.14285714285714285)
('obtained', 0.14285714285714285)
('essentially', 0.14285714285714285)
('s', 0.14285714285714285)
('diameter', 0.14285714285714285)
('unduly', 0.14285714285714285)
('total', 0.14285714285714285)
('jet', 0.14285714285714285)
('flying', 0.14285714285714285)
('station', 0.14285714285714285)
('type', 0.14285714285714285)
('function', 0.14285714285714285)
('mounted', 0.14285714285714285)
('tunnel', 0.14285714285714285)
('j', 0.14285714285714285)
('variations', 0.14285714285714285)
('record', 0.14285714285714285)
('r', 0.14285714285714285)
('example', 0.14285714285714285)
('constant', 0.14285714285714285)
('fluctuation', 0.14285714285714285)
('is', 0.14285714285714285)
('measurement', 0.14285714285714285)
('general', 0.14285714285714285)
('affected', 0.14285714285714285)
('airplane', 0.14285714285714285)
('altitudes', 0.14285714285714285)
('microphone', 0.14285714285714285)
('compared', 0.14285714285714285)
('hot', 0.14285714285714285)
('test', 0.14285714285714285)
('literature', 0.14285714285714285)
('variation', 0.14285714285714285)
('measured', 0.14285714285714285)
('mach', 0.14285714285714285)
('fighter', 0.14285714285714285)
('q', 0.14285714285714285)
('nasa', 0.14285714285714285)
('wind', 0.14285714285714285)
