('pressure', 0.8324092478934529)
('empirical', 3.7784916128036232)
('relation', 2.1566311803709657)
('shock', 1.1458497176477107)
('TITLE', 0.0)
('DOC', 0.0)
('prediction', 1.2012065367210376)
('transonic', 2.1953225313479483)
('AUTHOR', 0.0)
('distributions', 0.8385170068792749)
('subsonic', 1.7660717769791732)
('TEXT', 0.0)
('DOCNO', 0.0)
('results', 0.39424299083333525)
('BIBLIO', 0.0)
('supersonic', 1.2337333128339922)
('ae', 0.0)
('significance', 0.9499261203103037)
('high', 0.6371695741126603)
('sinnott', 0.0)
('mechanism', 1.1385287063714182)
('semiempirical', 1.5350567286626973)
('speed', 0.5535770689405503)
('linked', 1.9526443848278197)
('scs', 0.0)
('physical', 1.008239936809081)
('shown', 0.5305794451115664)
('derive', 0.597729687345883)
('also', 0.5047092442099251)
('parts', 0.8571328937138146)
('scheme', 1.6823343127557102)
('theoretical', 0.6020494022267182)
('introducing', 1.023280081902571)
('rise', 1.168852632439994)
('flows', 0.19798282233864264)
('analyzed', 1.033697596403939)
('c', 1.2594972042678743)
('improved', 1.168852632439994)
('tunnel', 0.6657344811476212)
('j', 1.5350567286626973)
('flow', 0.19798282233864264)
('separately', 0.6764305859981214)
('considered', 0.5560928041523445)
('s', 0.6503075636262858)
('mixed', 1.0976612656739742)
('treated', 0.9417956359355839)
('wind', 0.8189119242737679)
('solutions', 0.35890367490500297)
